County,Confirmed,Deaths,Date
Adams,5,0,2020-03-27
Benton,42,5,2020-03-27
Chelan,13,1,2020-03-27
Clallam,5,0,2020-03-27
Clark,76,6,2020-03-27
Columbia,1,0,2020-03-27
Cowlitz,7,0,2020-03-27
Douglas,5,0,2020-03-27
Ferry,1,0,2020-03-27
Franklin,12,0,2020-03-27
Grant,42,1,2020-03-27
Grays Harbor,1,0,2020-03-27
Island,79,1,2020-03-27
Jefferson,11,0,2020-03-27
King,1828,125,2020-03-27
Kitsap,42,1,2020-03-27
Kittitas,8,0,2020-03-27
Klickitat,7,0,2020-03-27
Lewis,7,0,2020-03-27
Lincoln,1,0,2020-03-27
Mason,2,0,2020-03-27
Okanogan,2,0,2020-03-27
Pierce,231,5,2020-03-27
San Juan,3,0,2020-03-27
Skagit,91,1,2020-03-27
Skamania,1,0,2020-03-27
Snohomish,913,23,2020-03-27
Spokane,86,0,2020-03-27
Stevens,3,0,2020-03-27
Thurston,27,0,2020-03-27
Walla Walla,2,0,2020-03-27
Whatcom,92,4,2020-03-27
Whitman,5,0,2020-03-27
Yakima,72,2,2020-03-27
Unassigned,45, ,2020-03-27
Total,3723,175,2020-03-27
