County,Confirmed,Deaths,Date
Adams,3,0,2020-03-26
Benton,19,4,2020-03-26
Chelan,10,0,2020-03-26
Clallam,5,0,2020-03-26
Clark,48,5,2020-03-26
Columbia,1,0,2020-03-26
Cowlitz,7,0,2020-03-26
Douglas,5,0,2020-03-26
Ferry,1,0,2020-03-26
Franklin,7,0,2020-03-26
Grant,33,1,2020-03-26
Grays Harbor,1,0,2020-03-26
Island,64,1,2020-03-26
Jefferson,11,0,2020-03-26
King,1577,109,2020-03-26
Kitsap,33,0,2020-03-26
Kittitas,8,0,2020-03-26
Klickitat,7,0,2020-03-26
Lewis,5,0,2020-03-26
Lincoln,1,0,2020-03-26
Mason,2,0,2020-03-26
Okanogan,1,0,2020-03-26
Pierce,186,4,2020-03-26
San Juan,2,0,2020-03-26
Skagit,78,1,2020-03-26
Snohomish,778,16,2020-03-26
Spokane,67,0,2020-03-26
Stevens,2,0,2020-03-26
Thurston,24,0,2020-03-26
Walla Walla,2,0,2020-03-26
Whatcom,86,4,2020-03-26
Whitman,3,0,2020-03-26
Yakima,61,2,2020-03-26
Unassigned,69, ,2020-03-26
Total,3207,147,2020-03-26
