County,Confirmed,Deaths,Date
Adams,5,0,2020-03-28
Benton,56,5,2020-03-28
Chelan,13,1,2020-03-28
Clallam,5,0,2020-03-28
Clark,82,6,2020-03-28
Columbia,1,0,2020-03-28
Cowlitz,10,0,2020-03-28
Douglas,5,0,2020-03-28
Ferry,1,0,2020-03-28
Franklin,16,0,2020-03-28
Grant,44,1,2020-03-28
Grays Harbor,1,0,2020-03-28
Island,92,1,2020-03-28
Jefferson,13,0,2020-03-28
King,2077,136,2020-03-28
Kitsap,49,0,2020-03-28
Kittitas,8,0,2020-03-28
Klickitat,7,0,2020-03-28
Lewis,7,0,2020-03-28
Lincoln,1,0,2020-03-28
Mason,2,0,2020-03-28
Okanogan,3,0,2020-03-28
Pierce,282,5,2020-03-28
San Juan,4,0,2020-03-28
Skagit,97,3,2020-03-28
Skamania,1,0,2020-03-28
Snohomish,912,23,2020-03-28
Spokane,108,2,2020-03-28
Stevens,3,0,2020-03-28
Thurston,33,0,2020-03-28
Walla Walla,4,0,2020-03-28
Whatcom,102,4,2020-03-28
Whitman,6,0,2020-03-28
Yakima,100,2,2020-03-28
Unassigned,160, ,2020-03-28
Total,4300,175,2020-03-28
